Serial No.,Camera1,Camera2,Fused
204.0,0.0,153.82,150.84
205.0,0.0,151.68,150.15
206.0,0.0,151.16,149.52
207.0,0.0,151.15,149.29
208.0,0.0,154.66,150.82
209.0,0.0,153.23,150.97
210.0,0.0,151.39,150.05
211.0,0.0,152.73,150.31
212.0,0.0,152.8,150.46
213.0,0.0,151.73,150.01
214.0,0.0,153.19,150.59
215.0,0.0,152.19,150.31
216.0,0.0,150.37,149.28
217.0,0.0,149.41,148.22
218.0,0.0,148.18,147.07
219.0,0.0,150.0,147.33
220.0,0.0,151.16,148.21
221.0,0.0,151.61,148.71
222.0,0.0,150.08,148.22
223.0,0.0,152.06,148.85
224.0,0.0,151.75,149.09
225.0,0.0,151.03,148.79
226.0,0.0,150.82,148.71
227.0,0.0,150.64,148.45
228.0,0.0,152.8,149.57
229.0,0.0,163.73,155.3
230.0,0.0,171.1,161.34
231.0,0.0,174.54,166.21
232.0,0.0,175.34,169.14
233.0,0.0,178.15,172.1
234.0,0.0,177.23,173.17
235.0,0.0,176.42,173.37
236.0,0.0,176.68,173.62
237.0,0.0,175.66,173.23
238.0,0.0,175.4,172.86
239.0,0.0,176.26,173.21
240.0,0.0,175.88,173.14
241.0,0.0,175.68,172.99
242.0,0.0,176.45,173.49
243.0,0.0,177.26,174.18
244.0,0.0,176.34,173.96
245.0,0.0,176.14,173.7
246.0,0.0,177.12,174.24
247.0,0.0,177.8,175.31
248.0,0.0,177.42,175.58
249.0,0.0,176.88,175.35
250.0,0.0,176.99,175.33
251.0,0.0,176.95,175.3
252.0,175.85,176.99,176.15
253.0,166.93,177.26,173.48
254.0,177.57,177.23,176.26
255.0,176.12,177.24,176.56
256.0,175.61,176.99,176.38
257.0,175.84,176.73,176.32
258.0,175.95,177.3,176.54
259.0,176.09,177.13,176.6
260.0,175.9,177.17,176.58
261.0,176.31,176.88,176.61
262.0,176.16,177.02,176.6
263.0,176.02,176.93,176.53
264.0,175.97,176.67,176.39
265.0,175.85,177.18,176.48
266.0,175.7,177.32,176.53
267.0,175.89,177.23,176.57
268.0,175.89,177.01,176.5
269.0,176.02,176.91,176.49
270.0,175.99,177.03,176.52
271.0,176.13,176.96,176.56
272.0,175.79,176.83,176.4
273.0,176.34,176.96,176.6
274.0,175.9,177.33,176.63
275.0,175.93,177.32,176.64
276.0,176.26,177.67,176.88
